,title,genre,studio,number_of_episodes,release_date,content_type,viewer_reviews,source
653,Engaged to the Unidentified,"Comedy, Romance, Slice of Life",Doga Kobo,12,2014-01,Tv,71.0,AniList
654,Tokyo Ravens,"Action, Comedy, Supernatural",8-bit,24,2013-10,Tv,71.0,AniList
655,School Babysitters,"Comedy, Slice of Life",Brain's Base,12,2018-01,Tv,78.0,AniList
656,Bungo Stray Dogs 4,"Action, Comedy, Mystery, Supernatural",bones,13,2023-01,Tv,84.0,AniList
657,Mayo Chiki!,"Comedy, Ecchi, Romance",feel.,13,2011-07,Tv,69.0,AniList
658,Our Last Crusade or the Rise of a New World,"Action, Fantasy, Romance",SILVER LINK.,12,2020-10,Tv,65.0,AniList
659,Happy Sugar Life,"Drama, Horror, Mystery, Psychological, Romance",Ezo’la,12,2018-07,Tv,65.0,AniList
660,DECA-DENCE,"Action, Adventure, Sci-Fi",NUT,12,2020-07,Tv,71.0,AniList
661,"SING ""YESTERDAY"" FOR ME","Drama, Romance, Slice of Life",Doga Kobo,12,2020-04,Tv,67.0,AniList
662,The Quintessential Quintuplets Movie,"Comedy, Drama, Romance, Slice of Life",Bibury Animation Studios,1,2022-05,Movie,78.0,AniList
663,ASTRA LOST IN SPACE,"Adventure, Mystery, Sci-Fi",Lerche,12,2019-07,Tv,78.0,AniList
664,Cardcaptor Sakura,"Comedy, Drama, Fantasy, Mahou Shoujo, Romance",MADHOUSE,70,1998-04,Tv,80.0,AniList
665,SHADOWS HOUSE,"Fantasy, Horror, Mystery, Slice of Life, Supernatural",CloverWorks,13,2021-04,Tv,77.0,AniList
666,BURN THE WITCH,"Action, Fantasy",Studio Colorido,3,2020-10,Ona,70.0,AniList
667,Boruto: Naruto the Movie,"Action, Adventure, Comedy",Studio Pierrot,1,2015-08,Movie,70.0,AniList
668,Reincarnated as a Sword,"Action, Adventure, Fantasy",C2C,12,2022-09,Ona,74.0,AniList
669,Spice and Wolf II,"Adventure, Fantasy, Romance, Slice of Life",Imagin,12,2009-07,Tv,81.0,AniList
670,Azumanga Daioh,"Comedy, Slice of Life",J.C.STAFF,26,2002-04,Tv,79.0,AniList
671,The Genius Prince's Guide to Raising a Nation Out of Debt,"Comedy, Fantasy",Yokohama Animation Lab,12,2022-01,Tv,72.0,AniList
672,Fruits Basket,"Comedy, Drama, Romance, Slice of Life, Supernatural",Studio DEEN,26,2001-07,Tv,74.0,AniList
673,The Faraway Paladin,"Action, Adventure, Fantasy, Mystery, Psychological",Children's Playground Entertainment,12,2021-10,Tv,68.0,AniList
674,The Anthem of the Heart,"Drama, Music, Romance, Slice of Life, Supernatural",A-1 Pictures,1,2015-09,Movie,76.0,AniList
675,Demon King Daimao,"Action, Comedy, Ecchi, Fantasy",Artland,12,2010-04,Tv,62.0,AniList
676,Vampire Knight,"Drama, Mystery, Romance, Supernatural",Aniplex,13,2008-04,Tv,62.0,AniList
677,IRODUKU: The World in Colors,"Drama, Romance, Slice of Life, Supernatural",P.A.WORKS,13,2018-10,Tv,73.0,AniList
678,Kono Oto Tomare!: Sounds of Life,"Drama, Music, Romance, Slice of Life",Platinum Vision,13,2019-04,Tv,78.0,AniList
679,Kids on the Slope,"Drama, Music, Romance, Slice of Life",Dentsu,12,2012-04,Tv,80.0,AniList
680,Ride Your Wave,"Drama, Fantasy, Romance",Science SARU,1,2019-06,Movie,75.0,AniList
681,A Certain Scientific Railgun S,"Action, Fantasy, Sci-Fi",J.C.STAFF,24,2013-04,Tv,79.0,AniList
682,Hentai Prince & the Stony Cat,"Comedy, Romance, Supernatural",J.C.STAFF,12,2013-04,Tv,68.0,AniList
683,I'm Quitting Heroing,"Action, Adventure, Comedy, Fantasy",EMT Squared,12,2022-04,Tv,69.0,AniList
684,Skeleton Knight in Another World,"Action, Adventure, Comedy, Fantasy",Studio KAI,12,2022-04,Tv,70.0,AniList
685,Shakugan no Shana,"Action, Comedy, Drama, Fantasy, Romance, Supernatural",J.C.STAFF,24,2005-10,Tv,70.0,AniList
686,The Greatest Demon Lord Is Reborn as a Typical Nobody,"Action, Ecchi, Fantasy, Romance",SILVER LINK.,12,2022-04,Tv,62.0,AniList
687,My Stepmom's Daughter is My Ex,"Comedy, Romance",project No.9,12,2022-07,Tv,66.0,AniList
688,Somali and the Forest Spirit,"Adventure, Drama, Fantasy, Slice of Life",Satelight,12,2020-01,Tv,76.0,AniList
689,Sword Art Online the Movie -Progressive- Aria of a Starless Night,"Action, Adventure, Fantasy, Romance",A-1 Pictures,1,2021-10,Movie,78.0,AniList
690,A Couple of Cuckoos,"Comedy, Romance",Shin-Ei Animation,24,2022-04,Tv,67.0,AniList
691,GOBLIN SLAYER -GOBLIN’S CROWN-,"Action, Adventure, Fantasy",WHITE FOX,1,2020-02,Movie,71.0,AniList
692,Inu X Boku Secret Service,"Comedy, Romance, Supernatural",Aniplex,12,2012-01,Tv,70.0,AniList
693,Given The Movie,"Drama, Music, Romance",Lerche,1,2020-08,Movie,80.0,AniList
694,Run with the Wind,"Drama, Sports",Production I.G,23,2018-10,Tv,83.0,AniList
695,The Wrong Way to Use Healing Magic,"Action, Fantasy",Shin-Ei Animation,13,2024-01,Tv,75.0,AniList
696,TSUKIMICHI -Moonlit Fantasy- Season 2,"Action, Adventure, Comedy, Fantasy",J.C.STAFF,25,2024-01,Tv,78.0,AniList
697,REBORN!,"Action, Comedy",Artland,203,2006-10,Tv,76.0,AniList
698,Blood-C,"Action, Horror, Mystery, Supernatural",Production I.G,12,2011-07,Tv,61.0,AniList
699,Welcome to Demon School! Iruma-kun Season 2,"Comedy, Fantasy, Supernatural",Bandai Namco Pictures,21,2021-04,Tv,80.0,AniList
700,Kaiji - Ultimate Survivor,"Psychological, Thriller",MADHOUSE,26,2007-10,Tv,82.0,AniList
701,My Hero Academia: World Heroes' Mission,"Action, Adventure, Sci-Fi",bones,1,2021-08,Movie,76.0,AniList
702,Sword Oratoria: Is it Wrong to Try to Pick Up Girls in a Dungeon? On the Side,"Action, Adventure, Comedy, Fantasy",J.C.STAFF,12,2017-04,Tv,67.0,AniList
703,Vermeil in Gold,"Ecchi, Fantasy, Romance",Staple Entertainment,12,2022-07,Tv,67.0,AniList
704,My Deer Friend Nokotan,"Comedy, Fantasy, Slice of Life",Twin Engine,12,2024-07,Ona,68.0,AniList
705,Words Bubble Up Like Soda Pop,"Romance, Slice of Life",Signal.MD,1,2021-07,Movie,74.0,AniList
706,The Day I Became a God,"Comedy, Drama, Romance, Sci-Fi, Slice of Life",P.A.WORKS,12,2020-10,Tv,65.0,AniList
707,The Case Study of Vanitas Part 2,"Action, Drama, Fantasy, Mystery, Supernatural",bones,12,2022-01,Tv,81.0,AniList
708,The Slime Diaries,"Adventure, Comedy, Fantasy, Slice of Life",8-bit,12,2021-04,Tv,74.0,AniList
709,After the Rain,"Drama, Romance, Slice of Life",WIT STUDIO,12,2018-01,Tv,73.0,AniList
710,Princess Connect! Re:Dive,"Adventure, Comedy, Fantasy",CygamesPictures,13,2020-04,Tv,69.0,AniList
711,Oreimo 2,"Comedy, Romance, Slice of Life",Aniplex,13,2013-04,Tv,65.0,AniList
712,"Hensuki: Are you willing to fall in love with a pervert, as long as she’s a cutie?","Comedy, Ecchi, Mystery, Romance",GEEKTOYS,12,2019-07,Tv,62.0,AniList
713,Insomniacs After School,"Romance, Slice of Life",Pony Canyon,13,2023-04,Tv,79.0,AniList
714,To Your Eternity Season 2,"Adventure, Drama, Fantasy, Psychological, Supernatural",Drive,20,2022-10,Tv,79.0,AniList
715,The Disastrous Life of Saiki K.: Reawakened,"Comedy, Slice of Life, Supernatural",J.C.STAFF,6,2019-12,Ona,81.0,AniList
716,Noblesse,"Action, Supernatural",Production I.G,13,2020-10,Tv,65.0,AniList
717,Code Geass: Lelouch of the Re;surrection,"Action, Drama, Mecha, Sci-Fi",Sunrise,1,2019-02,Movie,77.0,AniList
718,Real Girl,"Comedy, Drama, Romance, Slice of Life",Hoods Entertainment,12,2018-04,Tv,65.0,AniList
719,Armed Girl's Machiavellism,"Action, Comedy, Ecchi, Romance",SILVER LINK.,12,2017-04,Tv,66.0,AniList
720,Undefeated Bahamut Chronicle,"Action, Ecchi, Fantasy, Mecha, Romance, Supernatural",Lerche,12,2016-01,Tv,62.0,AniList
721,Wagnaria!!,"Comedy, Slice of Life",Aniplex,13,2010-04,Tv,74.0,AniList
722,Isekai Cheat Magician,"Action, Adventure, Fantasy",Encourage Films,12,2019-07,Tv,52.0,AniList
723,"DON'T TOY WITH ME, MISS NAGATORO 2nd Attack","Comedy, Romance, Slice of Life",OLM,12,2023-01,Tv,74.0,AniList
724,Space Dandy,"Comedy, Sci-Fi",bones,13,2014-01,Tv,77.0,AniList
725,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,"Action, Adventure, Comedy, Fantasy",8-bit,1,2022-11,Movie,77.0,AniList
726,Dragon Ball Z Kai,"Action, Adventure, Comedy",Toei Animation,97,2009-04,Tv,76.0,AniList
727,Attack on Titan: Lost Girls,"Action, Drama, Fantasy, Mystery",WIT STUDIO,3,2017-12,Ova,76.0,AniList
728,HELLO WORLD,"Drama, Psychological, Romance, Sci-Fi",Graphinica,1,2019-09,Movie,73.0,AniList
729,I'm Standing on a Million Lives,"Action, Drama, Fantasy",Maho Film,12,2020-10,Tv,63.0,AniList
730,Heaven's Lost Property,"Comedy, Ecchi, Romance, Sci-Fi, Slice of Life, Supernatural",AIC A.S.T.A.,13,2009-10,Tv,67.0,AniList
731,Rage of Bahamut: Genesis,"Action, Adventure, Fantasy, Supernatural",MAPPA,12,2014-10,Tv,74.0,AniList
732,Teasing Master Takagi-san Season 2,"Comedy, Romance, Slice of Life",Shin-Ei Animation,12,2019-07,Tv,79.0,AniList
733,One-Punch Man: Road to Hero,"Action, Comedy, Sci-Fi, Supernatural",MADHOUSE,1,2015-12,Ova,75.0,AniList
734,My Mental Choices Are Completely Interfering With My School Romantic Comedy,"Comedy, Ecchi, Romance, Supernatural",diomedéa,10,2013-10,Tv,67.0,AniList
735,Cells at Work!!,"Action, Comedy, Sci-Fi",David Production,8,2021-01,Tv,72.0,AniList
736,Full Metal Panic!,"Action, Comedy, Mecha, Sci-Fi",GONZO,24,2002-01,Tv,72.0,AniList
737,The Seven Deadly Sins the Movie: Prisoners of the Sky,"Action, Adventure, Fantasy",A-1 Pictures,1,2018-08,Movie,69.0,AniList
738,When They Cry Kai,"Horror, Mystery, Psychological, Supernatural, Thriller",NBCUniversal Entertainment Japan,24,2007-07,Tv,80.0,AniList
739,Danganronpa 3: The End of Hope’s Peak High School - Future Arc,"Action, Horror, Mystery, Psychological, Sci-Fi, Thriller",Lerche,12,2016-07,Tv,68.0,AniList
740,YuruYuri,"Comedy, Slice of Life",TV Tokyo,12,2011-07,Tv,74.0,AniList
741,The Eden of Grisaia,"Action, Drama, Ecchi, Romance",8-bit,10,2015-04,Tv,75.0,AniList
742,Kino's Journey,"Adventure, Drama, Fantasy, Psychological, Slice of Life",WOWOW,13,2003-04,Tv,81.0,AniList
743,Free! -Eternal Summer-,"Comedy, Drama, Slice of Life, Sports",Kyoto Animation,13,2014-07,Tv,74.0,AniList
744,Haibane Renmei,"Drama, Fantasy, Mystery, Psychological, Slice of Life",Radix,13,2002-10,Tv,79.0,AniList
745,Saga of Tanya the Evil - the Movie -,"Action, Fantasy",NUT,1,2019-02,Movie,81.0,AniList
746,Love Tyrant,"Comedy, Ecchi, Romance, Supernatural",EMT Squared,12,2017-04,Tv,63.0,AniList
747,Ragna Crimson,"Action, Adventure, Fantasy, Mystery",SILVER LINK.,24,2023-10,Tv,74.0,AniList
748,Rainbow,"Drama, Psychological, Thriller",MADHOUSE,26,2010-04,Tv,81.0,AniList
749,Romantic Killer,"Comedy, Romance",domerica,12,2022-10,Ona,79.0,AniList
750,Fire Force Season 3,"Action, Drama, Sci-Fi, Supernatural",David Production,12,2025-04,Tv,78.0,AniList
751,Rurouni Kenshin,"Action, Adventure, Comedy, Drama, Romance",Studio Gallop,94,1996-01,Tv,79.0,AniList
752,Suppose a Kid from the Last Dungeon Boonies moved to a starter town?,"Adventure, Comedy, Fantasy",LIDENFILMS,12,2021-01,Tv,62.0,AniList
753,Durarara!! X2 The Second Arc,"Action, Mystery, Supernatural",Shuka,12,2015-07,Tv,78.0,AniList
754,Campfire Cooking in Another World with my Absurd Skill,"Adventure, Comedy, Fantasy",MAPPA,12,2023-01,Tv,76.0,AniList
755,Spice and Wolf: MERCHANT MEETS THE WISE WOLF,"Adventure, Fantasy, Romance, Slice of Life",Toho,25,2024-04,Tv,79.0,AniList
756,Mononoke,"Fantasy, Horror, Mystery, Psychological, Supernatural",Toei Animation,12,2007-07,Tv,81.0,AniList
757,K-ON!: The Movie,"Comedy, Music, Slice of Life",Kyoto Animation,1,2011-12,Movie,83.0,AniList
758,The Future Diary: Redial,"Action, Psychological, Supernatural",Asread,1,2013-06,Ova,68.0,AniList
759,Danganronpa 3: The End of Hope’s Peak High School - Despair Arc,"Action, Drama, Horror, Mystery, Psychological, Sci-Fi, Thriller",Lerche,11,2016-07,Tv,71.0,AniList
760,The King's Avatar,"Action, Drama",G.CMay Animation & Film,12,2017-04,Ona,75.0,AniList
761,Black Clover: Sword of the Wizard King,"Action, Adventure, Comedy, Fantasy",Shueisha,1,2023-06,Movie,80.0,AniList
762,Dusk Maiden of Amnesia,"Horror, Mystery, Romance, Supernatural",Media Factory,12,2012-04,Tv,75.0,AniList
763,Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen OVA,"Comedy, Ecchi, Romance, Slice of Life",Shueisha,1,2021-05,Ova,75.0,AniList
764,D-Frag!,Comedy,Brain's Base,12,2014-01,Tv,73.0,AniList
765,PLUTO,"Action, Drama, Mecha, Mystery, Psychological, Sci-Fi",Studio M2,8,2023-10,Ona,84.0,AniList
766,Dead Mount Death Play,"Action, Fantasy, Supernatural, Thriller",GEEKTOYS,12,2023-04,Tv,72.0,AniList
767,Aesthetica of a Rogue Hero,"Action, Ecchi, Fantasy",Arms,12,2012-07,Tv,61.0,AniList
768,Bungo Stray Dogs: DEAD APPLE,"Action, Comedy, Mystery, Supernatural",bones,1,2018-03,Movie,78.0,AniList
769,The Disastrous Life of Saiki K. Season 3,"Comedy, Slice of Life, Supernatural",J.C.STAFF,1,2018-12,Special,81.0,AniList
770,The Familiar of Zero: Knight of the Twin Moons,"Action, Adventure, Comedy, Ecchi, Fantasy, Romance",J.C.STAFF,12,2007-07,Tv,70.0,AniList
771,Kamisama Kiss◎,"Comedy, Fantasy, Romance, Supernatural",TMS Entertainment,12,2015-01,Tv,81.0,AniList
772,Chobits,"Comedy, Drama, Ecchi, Romance, Sci-Fi",MADHOUSE,26,2002-04,Tv,71.0,AniList
773,The Testament of Sister New Devil BURST,"Action, Ecchi, Fantasy, Romance",Production IMS,10,2015-10,Tv,64.0,AniList
774,Snow White with the Red Hair Season 2,"Drama, Fantasy, Romance",bones,12,2016-01,Tv,78.0,AniList
775,Koyomimonogatari,"Comedy, Mystery, Supernatural",Shaft,12,2016-01,Ona,74.0,AniList
776,EDENS ZERO,"Action, Adventure, Comedy, Fantasy, Sci-Fi",J.C.STAFF,25,2021-04,Tv,70.0,AniList
777,Corpse Party,"Horror, Mystery, Supernatural",Asread,4,2013-07,Ova,59.0,AniList
778,Eureka Seven,"Action, Adventure, Drama, Mecha, Romance, Sci-Fi",bones,50,2005-04,Tv,77.0,AniList
779,Welcome to the Ballroom,"Drama, Romance, Sports",Production I.G,24,2017-07,Tv,79.0,AniList
780,Tada Never Falls In Love,"Comedy, Romance, Slice of Life",Doga Kobo,13,2018-04,Tv,73.0,AniList
781,NANBAKA,"Action, Comedy, Drama",Satelight,13,2016-10,Tv,70.0,AniList
782,Amagami SS,"Comedy, Romance, Slice of Life",AIC,25,2010-07,Tv,69.0,AniList
783,LAZARUS,"Action, Sci-Fi",Adult Swim,13,2025-04,Tv,71.0,AniList
784,Tokyo Godfathers,"Adventure, Comedy, Drama",MADHOUSE,1,2003-11,Movie,81.0,AniList
785,Zoku Owarimonogatari,"Drama, Mystery, Supernatural",Shaft,6,2019-02,Ova,84.0,AniList
786,I Can't Understand What My Husband Is Saying,"Comedy, Romance, Slice of Life",Seven,13,2014-10,Tv Short,70.0,AniList
787,"So, I Can't Play H!","Comedy, Ecchi, Romance, Supernatural",NBCUniversal Entertainment Japan,12,2012-07,Tv,60.0,AniList
788,Bubble,"Romance, Sci-Fi, Sports, Supernatural",WIT STUDIO,1,2022-04,Ona,71.0,AniList
789,Waiting in the Summer,"Comedy, Drama, Romance, Sci-Fi, Slice of Life",J.C.STAFF,12,2012-01,Tv,71.0,AniList
790,When Marnie Was There,"Drama, Mystery, Psychological",Studio Ghibli,1,2014-07,Movie,78.0,AniList
791,Is It Wrong to Try to Pick Up Girls in a Dungeon? IV Part 2,"Action, Adventure, Comedy, Fantasy, Romance",J.C.STAFF,11,2023-01,Tv,82.0,AniList
792,Chaika -The Coffin Princess-,"Action, Adventure, Comedy, Fantasy",bones,12,2014-04,Tv,69.0,AniList
793,SPY x FAMILY CODE: White,"Action, Adventure, Comedy, Slice of Life, Supernatural",WIT STUDIO,1,2023-12,Movie,81.0,AniList
794,Chained Soldier,"Action, Adventure, Drama, Ecchi, Fantasy, Romance",Seven Arcs,12,2024-01,Tv,67.0,AniList
795,Osamake: Romcom Where The Childhood Friend Won't Lose,"Comedy, Romance",Doga Kobo,12,2021-04,Tv,58.0,AniList
796,Sweetness & Lightning,Slice of Life,TMS Entertainment,12,2016-07,Tv,74.0,AniList
797,Jormungand,"Action, Adventure",NBCUniversal Entertainment Japan,12,2012-04,Tv,75.0,AniList
798,Penguindrum,"Drama, Mystery, Psychological, Supernatural",Brain's Base,24,2011-07,Tv,79.0,AniList
799,The Strongest Sage with the Weakest Crest,"Action, Adventure, Comedy, Fantasy, Romance, Slice of Life",J.C.STAFF,12,2022-01,Tv,61.0,AniList
800,The Great Jahy Will Not Be Defeated!,"Comedy, Fantasy, Slice of Life, Supernatural",SILVER LINK.,20,2021-08,Tv,68.0,AniList
801,LOOK BACK,"Drama, Slice of Life",Studio Durian,1,2024-06,Movie,87.0,AniList
802,Gintama Season 3,"Action, Comedy, Drama, Sci-Fi",Sunrise,13,2012-10,Tv,89.0,AniList
803,BLEACH: Thousand-Year Blood War - The Conflict,"Action, Adventure, Supernatural",PIERROT FILMS,14,2024-10,Tv,86.0,AniList
804,The Ice Guy and His Cool Female Colleague,"Comedy, Romance, Slice of Life, Supernatural",Zero-G,12,2023-01,Tv,72.0,AniList
805,Just Because!,"Drama, Romance, Slice of Life",PINE JAM,12,2017-10,Tv,70.0,AniList
806,Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?,"Action, Adventure, Comedy, Ecchi, Fantasy",J.C.STAFF,12,2019-07,Tv,52.0,AniList
807,Uzumaki,"Drama, Horror, Mystery, Psychological, Supernatural",Production I.G,4,2024-09,Tv,55.0,AniList
808,Life Lessons with Uramichi Oniisan,"Comedy, Slice of Life",Studio Blanc,13,2021-07,Tv,76.0,AniList
809,Shangri-La Frontier Season 2,"Action, Adventure, Comedy, Fantasy, Sci-Fi",C2C,25,2024-10,Tv,82.0,AniList
810,Higurashi: When They Cry - GOU,"Drama, Horror, Mystery, Psychological, Supernatural, Thriller",Passione,24,2020-10,Tv,69.0,AniList
811,Outbreak Company,"Comedy, Fantasy",feel.,12,2013-10,Tv,69.0,AniList
812,Nyaruko: Crawling with Love!,"Comedy, Romance, Sci-Fi",TV Tokyo,12,2012-04,Tv,66.0,AniList
813,Kuroko's Basketball: Last Game,"Comedy, Sports",Production I.G,1,2017-03,Movie,79.0,AniList
814,"Love, Chunibyo & Other Delusions: Take on Me","Comedy, Drama, Romance, Slice of Life",Kyoto Animation,1,2018-01,Movie,80.0,AniList
815,Showa Genroku Rakugo Shinju,Drama,Studio DEEN,13,2016-01,Tv,84.0,AniList
816,Yuuna and the Haunted Hot Springs,"Comedy, Ecchi, Romance, Supernatural",Xebec,12,2018-07,Tv,67.0,AniList
817,Yu-Gi-Oh!,"Adventure, Fantasy",Studio Gallop,224,2000-04,Tv,72.0,AniList
818,We Never Learn!: BOKUBEN Season 2,"Comedy, Ecchi, Romance, Slice of Life",Studio Silver,13,2019-10,Tv,72.0,AniList
819,Kubo Won't Let Me Be Invisible,"Comedy, Romance, Slice of Life",PINE JAM,12,2023-01,Tv,75.0,AniList
820,Doukyuusei -Classmates-,"Drama, Music, Romance, Slice of Life",Half H.P Studio,1,2016-02,Movie,81.0,AniList
821,Ao-chan Can't Study!,"Comedy, Ecchi, Romance",SILVER LINK.,12,2019-04,Tv Short,65.0,AniList
822,Girls und Panzer,"Action, Sports",Actas,12,2012-10,Tv,74.0,AniList
823,"Sayonara, Zetsubou-Sensei",Comedy,Shaft,12,2007-07,Tv,76.0,AniList
824,Gintama Season 5,"Action, Comedy, Drama, Sci-Fi",Bandai Namco Pictures,12,2017-01,Tv,88.0,AniList
825,Cowboy Bebop: The Movie - Knockin' on Heaven's Door,"Action, Drama, Mystery, Sci-Fi",bones,1,2001-09,Movie,82.0,AniList
826,Farming Life in Another World,"Fantasy, Slice of Life",Zero-G,12,2023-01,Tv,74.0,AniList
827,"The Tunnel to Summer, the Exit of Goodbyes","Drama, Romance, Supernatural",CLAP,1,2022-09,Movie,78.0,AniList
828,Engage Kiss,"Action, Comedy, Romance, Supernatural",Aniplex,13,2022-07,Tv,66.0,AniList
829,The Reincarnation of the Strongest Exorcist in Another World,"Action, Adventure, Fantasy, Romance, Supernatural",Asmik Ace,13,2023-01,Tv,70.0,AniList
830,Moriarty the Patriot Part 2,"Drama, Mystery, Psychological, Thriller",Production I.G,13,2021-04,Tv,81.0,AniList
831,Shelter,Sci-Fi,A-1 Pictures,1,2016-10,Music,80.0,AniList
832,Orb: On the Movements of the Earth,Drama,MADHOUSE,25,2024-10,Tv,86.0,AniList
833,TONIKAWA: Over The Moon For You Season 2,"Comedy, Romance, Slice of Life",Warner Bros. Japan,12,2023-04,Tv,76.0,AniList
834,Fate/Grand Order Absolute Demonic Front: Babylonia,"Action, Adventure, Fantasy, Supernatural",CloverWorks,21,2019-10,Tv,78.0,AniList
835,Afro Samurai,"Action, Adventure",GONZO,5,2007-01,Tv,70.0,AniList
836,Devils' Line,"Action, Drama, Horror, Romance, Supernatural",Platinum Vision,12,2018-04,Tv,65.0,AniList
837,Witch Craft Works,"Action, Fantasy, Supernatural",J.C.STAFF,12,2014-01,Tv,67.0,AniList
838,Durarara!! X2 The Third Arc,"Action, Mystery, Supernatural",Shuka,12,2016-01,Tv,79.0,AniList
839,Aoashi,Sports,Production I.G,24,2022-04,Tv,81.0,AniList
840,That Time I Got Reincarnated as a Slime OAD,"Action, Adventure, Comedy, Ecchi, Fantasy",8-bit,5,2019-07,Ova,73.0,AniList
841,High School Prodigies Have It Easy Even In Another World,"Action, Adventure, Drama, Ecchi, Fantasy",project No.9,12,2019-10,Tv,61.0,AniList
842,Legend of the Galactic Heroes,"Drama, Sci-Fi",Kitty Film,110,1988-01,Ova,88.0,AniList
843,Hanasaku Iroha ~Blossoms for Tomorrow~,"Comedy, Drama, Slice of Life",Bandai Visual,26,2011-04,Tv,77.0,AniList
844,Infinite Stratos 2,"Action, Comedy, Ecchi, Mecha, Romance, Sci-Fi",Lantis,12,2013-10,Tv,60.0,AniList
845,Sabikui Bisco,"Action, Adventure, Fantasy",OZ,12,2022-01,Tv,70.0,AniList
846,The Dangers in My Heart Season 2,"Comedy, Romance, Slice of Life",Shin-Ei Animation,13,2024-01,Tv,87.0,AniList
847,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense. Season 2","Action, Adventure, Comedy, Fantasy, Slice of Life",KADOKAWA,12,2023-01,Tv,71.0,AniList
848,Steins;Gate 0: 23β -Divide by Zero-,"Drama, Psychological, Sci-Fi, Thriller",WHITE FOX,1,2015-12,Ova,81.0,AniList
849,This Art Club Has a Problem!,"Comedy, Romance",feel.,12,2016-07,Tv,70.0,AniList
850,Hundred,"Action, Ecchi, Mecha, Sci-Fi",Production IMS,12,2016-04,Tv,59.0,AniList
851,Black Butler: Book of Circus,"Comedy, Fantasy, Mystery, Supernatural",A-1 Pictures,10,2014-07,Tv,78.0,AniList
852,Stars Align,"Drama, Slice of Life, Sports",8-bit,12,2019-10,Tv,75.0,AniList
853,The Kawai Complex Guide to Manors and Hostel Behavior,"Comedy, Romance, Slice of Life",Brain's Base,12,2014-04,Tv,74.0,AniList
854,The Yakuza's Guide to Babysitting,"Comedy, Slice of Life",feel.,12,2022-07,Tv,77.0,AniList
855,Magical Sempai,"Comedy, Ecchi, Slice of Life",LIDENFILMS,12,2019-07,Tv Short,61.0,AniList
856,SHAMAN KING (2021),"Action, Adventure, Comedy, Supernatural",Bridge,52,2021-04,Tv,64.0,AniList
857,Full Dive: This Ultimate Next-Gen Full Dive RPG Is Even Shittier than Real Life!,"Action, Comedy, Ecchi, Fantasy, Romance",ENGI,12,2021-04,Tv,62.0,AniList
858,Black Summoner,"Action, Adventure, Fantasy",Satelight,12,2022-07,Tv,69.0,AniList
859,The Magical Revolution of the Reincarnated Princess and the Genius Young Lady,"Fantasy, Romance",diomedéa,12,2023-01,Tv,75.0,AniList
860,The Duke of Death and His Maid,"Comedy, Drama, Romance, Supernatural",J.C.STAFF,12,2021-07,Tv,74.0,AniList
861,Dr. STONE SCIENCE FUTURE,"Action, Adventure, Comedy, Sci-Fi",Toho,12,2025-01,Tv,82.0,AniList
862,The World God Only Knows II,"Comedy, Romance, Supernatural",TV Tokyo,12,2011-04,Tv,76.0,AniList
863,Ghost in the Shell: Stand Alone Complex,"Action, Mystery, Psychological, Sci-Fi",Production I.G,26,2002-10,Tv,82.0,AniList
864,Love After World Domination,"Action, Comedy, Romance, Supernatural",project No.9,12,2022-04,Tv,73.0,AniList
865,Lord Marksman and Vanadis,"Adventure, Ecchi, Fantasy, Romance",Satelight,13,2014-10,Tv,67.0,AniList
866,Patema Inverted,"Adventure, Romance, Sci-Fi",Asmik Ace,1,2013-11,Movie,77.0,AniList
867,LAID-BACK CAMP SEASON2,"Comedy, Slice of Life",C-Station,13,2021-01,Tv,84.0,AniList
868,Sword Art Online EXTRA EDITION,"Action, Adventure, Fantasy, Romance",A-1 Pictures,1,2013-12,Special,61.0,AniList
869,Noragami OVA,"Action, Adventure, Comedy, Supernatural",bones,2,2014-02,Ova,74.0,AniList
870,PERSONA5 the Animation,"Action, Fantasy, Supernatural",Aniplex,26,2018-04,Tv,62.0,AniList
871,TRIGUN STAMPEDE,"Action, Drama, Sci-Fi",Orange,12,2023-01,Tv,78.0,AniList
872,One-Punch Man OVA,"Action, Comedy, Sci-Fi, Supernatural",MADHOUSE,6,2015-12,Ova,75.0,AniList
873,Texhnolyze,"Action, Drama, Psychological, Sci-Fi",MADHOUSE,22,2003-04,Tv,76.0,AniList
874,Handa-kun,"Comedy, Slice of Life",diomedéa,12,2016-07,Tv,70.0,AniList
875,Beck: Mongolian Chop Squad,"Comedy, Drama, Music, Slice of Life",MADHOUSE,26,2004-10,Tv,80.0,AniList
876,How a Realist Hero Rebuilt the Kingdom Part 2,"Action, Adventure, Fantasy, Romance",J.C.STAFF,13,2022-01,Tv,73.0,AniList
877,One Punch Man 3,"Action, Comedy, Sci-Fi, Supernatural",Shueisha,0,2025-10,Tv,0.0,AniList
878,To Love Ru Darkness,"Comedy, Ecchi, Romance, Sci-Fi",Xebec,12,2012-10,Tv,71.0,AniList
879,Kiss x Sis,"Comedy, Ecchi, Romance",feel.,12,2008-12,Ova,62.0,AniList
880,DAN DA DAN Season 2,"Action, Comedy, Drama, Romance, Sci-Fi, Supernatural",Science SARU,0,2025-07,Tv,0.0,AniList
